460,"Abomasnow","Basic_y","This Pokémon is known to bring blizzards. A shake of its massive body is enough to cause whiteout conditions.","Basic_x","If it sees any packs of Darumaka going after Snover, it chases them off, swinging its sizable arms like hammers.","Mega Abomasnow_y","It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.","Mega Abomasnow_x","It blankets wide areas in snow by whipping up blizzards. It is also known as “The Ice Monster.”"
063,"Abra","Basic_y","Abra can teleport in its sleep. Apparently the more deeply Abra sleeps, the farther its teleportations go.","Basic_x","This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.",
359,"Absol","Basic_y","Because of this Pokémon’s ability to detect danger, people mistook Absol as a bringer of doom.","Basic_x","Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters.","Mega Absol_y","It converts the energy from Mega Evolution into an intimidating aura. Fainthearted people expire from shock at the sight of it.","Mega Absol_x","Normally, it dislikes fighting, so it really hates changing to this form for battles."
617,"Accelgor","Basic_y","Discarding its shell made it nimble. To keep itself from dehydrating, it wraps its body in bands of membrane.","Basic_x","It moves with blinding speed and lobs poison at foes. Featuring Accelgor as a main character is a surefire way to make a movie or comic popular.",
681,"Aegislash","Basic_y","Its potent spectral powers allow it to manipulate others. It once used its powers to force people and Pokémon to build a kingdom to its liking.","Basic_x","In this defensive stance, Aegislash uses its steel body and a force field of spectral power to reduce the damage of any attack.","Blade-Forme_y","Once upon a time, a king with an Aegislash reigned over the land. His Pokémon eventually drained him of life, and his kingdom fell with him.","Blade-Forme_x","This stance is dedicated to offense. It can cleave any opponent with the strength and weight of its steel blade.",
142,"Aerodactyl","Basic_y","Aerodactyl’s sawlike fangs can shred skin to tatters—even the skin of Steel-type Pokémon.","Basic_x","This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.","Mega Aerodactyl_y","The power of Mega Evolution has completely restored its genes. The rocks on its body are harder than diamond.","Mega Aerodactyl_x","The power of Mega Evolution has completely restored its genes. The rocks on its body are harder than diamond.",
306,"Aggron","Basic_y","Long ago, there was a king who wore a helmet meant to resemble the head of an Aggron. He was trying to channel the Pokémon’s strength.","Basic_x","Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.","Mega Aggron_y","Aggron is protective of its environment. If its mountain is ravaged by a landslide or a fire, this Pokémon will haul topsoil to the area, plant trees, and beautifully restore its own territory.","Mega Aggron_x","Aggron claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This Pokémon vigilantly patrols its territory at all times."
190,"Aipom","Basic_y","It searches for prey from the tops of trees. When it spots its favorite food, Bounsweet, Aipom gets excited and pounces.","Basic_x","As it did more and more with its tail, its hands became clumsy. It makes its nest high in the treetops.",
065,"Alakazam","Basic_y","Alakazam wields potent psychic powers. It’s said that this Pokémon used these powers to create the spoons it holds.","Basic_x","It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.","Mega Alakazam_y","It’s adept at precognition. When attacks completely miss Alakazam, that’s because it’s seeing the future.","Mega Alakazam_x","It’s adept at precognition. When attacks completely miss Alakazam, that’s because it’s seeing the future."
869,"Alcremie","Basic_y","When Alcremie is content, the cream it secretes from its hands becomes sweeter and richer.","Basic_x","When it trusts a Trainer, it will treat them to berries it’s decorated with cream.","GMAX Alcremie_y","It launches swarms of missiles, each made of cream and loaded with 100,000 kilocalories. Get hit by one of these, and your head will swim.","GMAX Alcremie_x","Cream pours endlessly from this Pokémon’s body. The cream stiffens when compressed by an impact. A harder impact results in harder cream."
594,"Alomomola","Basic_y","The reason it helps Pokémon in a weakened condition is that any Pokémon coming after them may also attack Alomomola.","Basic_x","Fishermen take them along on long voyages, because if you have an Alomomola with you, there’ll be no need for a doctor or medicine.",
334,"Altaria","Basic_y","This Pokémon has a kind disposition, but if it’s provoked, it will threaten opponents with shrill cries before attacking them without mercy.","Basic_x","As it flies in a calm and relaxed manner, Altaria performs a humming song that would enrapture any audience.","Mega Altaria_y","Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pokémon catches updrafts with its buoyant wings and soars way up into the wild blue yonder.","Mega Altaria_x","Altaria dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this Pokémon makes its listeners experience dreamy wonderment."
698,"Amaura","Basic_y","Amaura is an ancient Pokémon that has gone extinct. Specimens of this species can sometimes be found frozen in ice.","Basic_x","This Pokémon was successfully restored from a fossil. In the past, it lived with others of its kind in cold lands where there were fewer predators.",
424,"Ambipom","Basic_y","It uses its tails for everything. If it wraps both of its tails around you and gives you a squeeze, that’s proof it really likes you.","Basic_x","In their search for comfortable trees, they get into territorial disputes with groups of Passimian. They win about half the time.",
591,"Amoonguss","Basic_y","Amoonguss generally doesn’t move much. It tends to stand still near Poké Balls that have been dropped on the ground.","Basic_x","This Pokémon puffs poisonous spores at its foes. If the spores aren’t washed off quickly, they’ll grow into mushrooms wherever they land.",
181,"Ampharos","Basic_y","Its tail shines bright and strong. It has been prized since long ago as a beacon for sailors.","Basic_x","The light from its tail can be seen from space. This is why you can always tell exactly where it is, which is why it usually keeps the light off.","Mega Ampharos_y","Massive amounts of energy intensely stimulated Ampharos’s cells, apparently awakening its long-sleeping dragon’s blood.","Mega Ampharos_x","Excess energy from Mega Evolution stimulates its genes, and the wool it had lost grows in again."
347,"Anorith","Basic_y","Anorith can swim swiftly by pulling its eight wings through the water like oars on a boat. This Pokémon is an ancestor of modern bug Pokémon.","Basic_x","This Pokémon was restored from a fossil. Anorith lived in the ocean about 100,000,000 years ago, hunting with its pair of claws.",
